;Genotype;date;modality;plant;nb_visible_leaves;nb_total_leaves;nb_missing_leaves;nb_leaf_present;leaf_area;total_leaf_area;nb_total_flowers;nb_stolons;nb_vegetative_bud;nb_initiated_bud;nb_floral_bud;nb_inflorescence;order_max;nb_ramifications;vid
0;BH518;2018-06-22;CF12372B;1;73;74;31;42;187.22;7863.24;62;20;22;0;0;8;3;6;1
1;BH518;2018-06-22;CF12372B;2;74;76;34;40;176.66;7066.4;96;9;37;0;0;13;3;6;178
2;BH518;2018-06-22;CF12372B;3;80;80;44;36;132.31;4763.16;83;15;29;0;0;12;3;5;380
3;BH518;2018-06-22;CF12372B;4;86;88;38;48;42.95;2061.6;91;14;54;0;0;15;4;6;575
4;BH518;2018-06-22;CF12372B;5;103;106;45;58;133.94;7768.52;120;19;63;0;0;17;4;8;832
5;BH518;2018-06-22;CF12372B;6;77;79;41;36;87.03;3133.08;55;11;45;0;0;11;4;8;1137
6;BH514;2018-06-22;CF13014;1;72;72;38;34;134.02;4556.68;108;10;27;0;0;8;3;5;1361
7;BH514;2018-06-22;CF13014;2;128;128;60;68;118.58;8063.44;91;32;82;0;0;6;2;10;1524
8;BH514;2018-06-22;CF13014;3;140;140;71;69;106.46;7345.74;122;27;79;0;0;11;3;12;1893
9;BH514;2018-06-22;CF13014;4;120;120;59;61;0.0;0.0;119;16;72;0;0;10;3;9;2268
10;BH514;2018-06-22;CF13014;5;77;77;39;38;92.32;3508.16;74;15;33;0;0;8;2;5;2585
11;BH514;2018-06-22;CF13014;6;123;123;61;62;78.92;4893.04;132;21;55;0;0;14;3;11;2775
12;BH516;2018-06-22;CF12074;1;97;99;44;53;103.99;5511.47;99;14;46;0;0;21;4;9;3079
13;BH516;2018-06-22;CF12074;2;153;158;74;79;165.98;13112.42;132;21;45;0;0;31;4;15;3343
14;BH516;2018-06-22;CF12074;3;151;151;73;78;154.91;12082.98;151;32;62;0;0;26;4;12;3702
15;BH516;2018-06-22;CF12074;4;95;97;42;53;66.78;3539.34;103;38;36;0;0;16;4;7;4094
16;BH516;2018-06-22;CF12074;5;121;127;59;62;111.5;6913.0;101;24;46;0;0;27;4;13;4374
17;BH516;2018-06-22;CF12074;6;123;123;61;62;154.79;9596.98;112;32;34;0;0;25;4;11;4698
18;AH502;2018-06-22;CLERY;1;40;40;18;22;0.0;0.0;14;10;20;0;0;4;3;2;5004
19;AH502;2018-06-22;CLERY;2;74;78;30;44;94.55;4160.2;44;5;41;0;0;13;3;6;5113
20;AH502;2018-06-22;CLERY;3;66;67;30;36;99.49;3581.64;47;18;27;0;0;9;3;4;5320
21;AH502;2018-06-22;CLERY;4;75;79;38;37;134.02;4958.74;69;14;46;0;0;15;4;5;5496
22;AH502;2018-06-22;CLERY;5;67;74;35;32;108.45;3470.4;74;7;37;0;0;14;4;5;5730
23;AH502;2018-06-22;CLERY;6;37;38;19;18;0.0;0.0;30;9;18;0;1;7;3;2;5925
24;AH503;2018-06-22;CIR140;1;107;108;56;51;93.65;4776.15;38;38;26;0;0;6;3;8;6040
25;AH503;2018-06-22;CIR140;2;126;126;60;66;129.8;8566.8;58;23;44;0;0;11;3;10;6289
26;AH503;2018-06-22;CIR140;3;38;38;16;22;114.59;2520.98;31;10;11;0;0;4;2;2;6572
27;AH503;2018-06-22;CIR140;4;25;25;12;13;92.52;1202.76;19;6;16;0;0;3;2;1;6661
28;AH503;2018-06-22;CIR140;5;28;29;11;17;147.75;2511.75;19;5;20;0;0;3;2;1;6737
29;AH503;2018-06-22;CIR140;6;143;143;63;80;120.51;9640.8;61;43;89;0;0;9;3;10;6823
30;AH511;2018-06-22;CF12354;1;85;88;41;44;100.99;4443.56;68;14;29;0;0;19;3;10;7249
31;AH511;2018-06-22;CF12354;2;77;77;26;51;147.75;7535.25;68;12;18;0;0;18;4;7;7476
32;AH511;2018-06-22;CF12354;3;88;89;41;47;128.87;6056.89;76;7;42;0;0;18;3;8;7650
33;AH511;2018-06-22;CF12354;4;69;70;31;38;67.96;2582.48;38;14;40;0;0;10;3;5;7874
34;AH511;2018-06-22;CF12354;5;97;102;49;48;69.14;3318.72;78;15;54;0;0;21;3;9;8077
35;AH511;2018-06-22;CF12354;6;136;141;72;64;74.39;4760.96;122;26;56;0;0;31;4;15;8360
36;BH515;2018-06-22;CF9041;1;97;100;47;50;81.62;4081.0;78;5;34;0;0;19;4;7;8738
37;BH515;2018-06-22;CF9041;2;70;75;37;33;130.59;4309.47;43;9;34;0;0;14;3;5;8961
38;BH515;2018-06-22;CF9041;3;89;91;42;47;1.89;88.83;39;15;28;0;0;15;3;7;9153
39;BH515;2018-06-22;CF9041;4;107;111;50;57;68.39;3898.23;82;10;71;0;0;20;4;9;9367
40;BH515;2018-06-22;CF9041;5;132;137;60;72;66.58;4793.76;78;5;93;0;0;23;4;13;9687
41;BH515;2018-06-22;CF9041;6;84;86;44;40;89.73;3589.2;67;5;61;0;0;17;3;6;10071
42;AH501;2018-06-22;Gariguette;1;29;29;7;22;154.4;3396.8;32;11;8;0;0;2;2;2;10339
43;AH501;2018-06-22;Gariguette;2;33;33;12;21;171.71;3605.91;36;13;12;0;0;4;3;1;10411
44;AH501;2018-06-22;Gariguette;3;42;42;12;30;0.0;0.0;26;12;14;0;0;3;2;3;10503
45;AH501;2018-06-22;Gariguette;4;61;61;24;37;111.5;4125.5;40;18;33;0;0;8;3;6;10604
46;AH501;2018-06-22;Gariguette;5;52;52;18;34;149.66;5088.44;26;22;26;0;0;3;2;3;10784
47;AH501;2018-06-22;Gariguette;6;42;42;15;27;138.63;3743.01;3;18;20;0;0;1;1;4;10941
48;AH504;2018-06-22;CF10145;1;89;91;43;46;130.29;5993.34;89;19;53;0;0;14;3;7;11062
49;AH504;2018-06-22;CF10145;2;104;107;41;63;154.4;9727.2;94;31;55;0;0;16;4;9;11330
50;AH504;2018-06-22;CF10145;3;77;79;32;45;108.37;4876.65;50;13;52;0;0;12;3;7;11646
51;AH504;2018-06-22;CF10145;4;76;78;40;36;130.29;4690.44;66;19;45;0;0;11;4;5;11880
52;AH504;2018-06-22;CF10145;5;85;85;40;45;89.73;4037.85;72;24;47;0;0;14;3;7;12113
53;AH504;2018-06-22;CF10145;6;116;119;65;51;91.12;4647.12;94;24;71;0;0;18;3;10;12369
54;AH509;2018-06-22;CF12073;1;81;82;34;47;66.75;3137.25;43;22;42;0;0;12;3;7;12723
55;AH509;2018-06-22;CF12073;2;125;128;57;68;164.25;11169.0;44;28;82;0;0;13;3;9;12960
56;AH509;2018-06-22;CF12073;3;74;78;32;42;111.11;4666.62;54;6;52;0;0;14;4;6;13337
57;AH509;2018-06-22;CF12073;4;102;106;41;61;195.39;11918.79;43;22;71;0;0;12;3;8;13564
58;AH509;2018-06-22;CF12073;5;119;122;55;64;108.37;6935.68;71;18;82;0;0;20;4;9;13881
59;AH509;2018-06-22;CF12073;6;68;71;29;39;94.28;3676.92;45;8;48;0;0;12;3;5;14246
60;CH513;2018-06-22;CF13143;1;72;72;37;35;124.03;4341.05;108;9;47;0;0;14;3;5;14456
61;CH513;2018-06-22;CF13143;2;56;57;34;22;82.89;1823.58;88;10;35;0;0;13;4;3;14669
62;CH513;2018-06-22;CF13143;3;94;94;55;39;140.46;5477.94;94;12;59;0;0;16;3;8;14843
63;CH513;2018-06-22;CF13143;4;92;92;44;48;108.5;5208.0;65;7;70;0;0;11;3;8;15112
64;CH513;2018-06-22;CF13143;5;60;61;29;31;64.42;1997.02;74;4;38;0;0;13;4;6;15383
65;CH513;2018-06-22;CF13143;6;72;75;34;38;89.73;3409.74;127;4;51;0;0;14;3;6;15557
66;AH512;2018-06-22;CF12964;1;47;47;20;27;98.09;2648.43;15;21;25;0;0;2;2;2;15777
67;AH512;2018-06-22;CF12964;2;79;79;33;46;67.83;3120.18;45;20;50;0;0;9;3;7;15921
68;AH512;2018-06-22;CF12964;3;73;75;36;37;185.29;6855.73;57;21;39;0;0;8;3;4;16159
69;AH512;2018-06-22;CF12964;4;95;95;47;48;97.84;4696.32;37;21;63;0;0;8;3;6;16380
70;AH512;2018-06-22;CF12964;5;82;87;48;34;79.02;2686.68;33;22;54;0;0;6;3;6;16660
71;AH512;2018-06-22;CF12964;6;147;148;66;81;107.0;8667.0;64;31;99;0;0;15;3;11;16912
