Architecture day:;30/07/2015;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Legends:;F: leaf;;;lobe_C_H: height of central lob;;;;;;;;;;;;;;;;
;C: crown;;;Lobe_C_L: width of central lob;;;;;;;;;;;;;;;;
;BT: Terminal buds;;;lobe_G_H: height of left lob;;;;;;;;;;;;;;;;
;GB: Big buds;;;Lobe_G_L: width of left lob;;;;;;;;;;;;;;;;
;HT: Terminal inflorescence;;;Leaf_area_algo: leaf area calculate with algorithm;;;;;;;;;;;;;;;;
;;;;Com.: Commentary;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Architecture;;;;;;;Leaf_notation;;;;;;;;Yield_notation;;;;;
Axis_1;Axis_2;Axe_3;Axis_4;Axis_5;Axis_6;Axis_7;leaf_area;leaf_perimeter;Lobe_C_H;Lobe_C_L;Lobe_G_H;Lobe_G_L;Leaf_area_algo;Com.;harvest_fruit;fruit_aborded;Total_ruit;com.;;
F;;;;;;;-;-;-;-;-;-;-;;;;;;;
F;;;;;;;-;-;-;-;-;-;-;;;;;;;
F;;;;;;;-;-;-;-;-;-;-;;;;;;;
F;;;;;;;-;-;-;-;-;-;-;;;;;;;
F;C;;;;;;-;-;-;-;-;-;-;;;;;;;
;F;;;;;;-;-;-;-;-;-;-;;;;;;;
;F;;;;;;-;-;-;-;-;-;-;;;;;;;
;F;C;;;;;-;-;-;-;-;-;-;;;;;;;
;;F;;;;;-;-;-;-;-;-;-;;;;;;;
;;F;;;;;-;-;-;-;-;-;-;;;;;;;
;;F;;;;;-;-;-;-;-;-;-;;;;;;;
;;F;C;;;;125,93;117,78;;;;;;;;;;;;
;;;F;;;;147,14;119,33;;;;;;Lobe central coupé;;;;;;
;;;F;s;;;67,18;47,61;;;;;;1 lobe;;;;;;
;;;F;s;;;114,72;125,98;;;;;;;;;;;;
;;;F;s;;;215,94;255,92;;;;;;;;;;;;
;;;F;s;;;132,51;128,96;;;;;;erreur de mesure recouvrement ;;;;;;
;;;F;s;;;264,18;262;;;;;;;;;;;;
;;;F;s;;;102,77;133,76;;;;;;;;;;;;
;;;F;s;;;89,91;106,07;;;;;;;;;;;;
;;;F;s;;;24,51;47;;;;;;2 lobes;;;;;;
;;;BT;;;;;;;;;;;;;;;;;
;;HT;;;;;;;;;;;;;8;0;8;;;
;HT;;;;;;;;;;;;;;6;0;6;;;
F;;;;;;;-;-;-;-;-;-;-;;;;;;;
F;C;;;;;;-;-;-;-;-;-;-;;;;;;;
;F;;;;;;-;-;;;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;;;
;F;C;;;;;-;-;;;;;;;;;;;;
;;F;;;;;34,9;71,36;;;;;;Lobe centrale déchiré;;;;;;
;;F;;;;;95,67;112,79;;;;;;;;;;;;
;;F;;;;;84,63;95,01;;;;;;2 lobes;;;;;;
;;F;C;;;;17,34;49,42;;;;;;;;;;;;
;;;F;;;;-;-;;;;;;;;;;;;
;;;F;C;;;82,98;80,05;;;;;;;;;;;;
;;;;F;;;-;-;;;;;;;;;;;;
;;;;F;;;-;-;;;;;;;;;;;;
;;;;F;b;;26,86;54,36;;;;;;;;;;;;
;;;;F;b;;15,77;42,88;;;;;;;;;;;;
;;;;BT;;;;;;;;;;;;;;;;
;;;F;C;;;146,64;108,98;;;;;;;;;;;;
;;;;F;s;;111,36;81,05;;;;;;2 lobes;;;;;;
;;;;F;C;;181,02;135,81;;;;;;;;;;;;
;;;;;F;s;-;-;;;;;;;;;;;;
;;;;;F;s;113,56;126,74;;;;;;;;;;;;
;;;;;F;s;110,25;112;;;;;;;;;;;;
;;;;;F;s;201,27;220,42;;;;;;;;;;;;
;;;;;F;s;68,61;96,61;8,5;5,2;7,1;4,5;72,2925;;;;;;;
;;;;;F;s;19,08;54,87;;;;;;;;;;;;
;;;;;BT;;;;;;;;;;;;;;;
;;;;HT;;;;;;;;;;;10;0;10;;;
;;;HT;;;;;;;;;;;;6;0;6;;;
;;HT;;;;;;;;;;;;;6;0;6;;;
;HT;;;;;;;;;;;;;;7;0;7;;;
;;;;;;;;;;;;;;;;;;;;
HT;;;;;;;;;;;;;;;16;3;19;;;
