Architecture day:;27/07/2015;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Legends:;F: leaf;;;lobe_C_H: height of central lob;;;;;;;;;;;;
;C: crown;;;Lobe_C_L: width of central lob;;;;;;;;;;;;
;BT: Terminal buds;;;lobe_G_H: height of left lob;;;;;;;;;;;;
;GB: Big buds;;;Lobe_G_L: width of left lob;;;;;;;;;;;;
;HT: Terminal inflorescence;;;Leaf_area_algo: leaf area calculate with algorithm;;;;;;;;;;;;
;;;;Com.: Commentary;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Axis_1;Axis_2;Axe_3;Axis_4;Axis_5;leaf_area;leaf_perimeter;Lobe_C_H;Lobe_C_L;Lobe_G_H;Lobe_G_L;Leaf_area_algo;Com.;harvest_fruit;fruit_aborded;Total_ruit;com.
F;;;;;-;-;;;;;;;;;;
F;;;;;-;-;;;;;;;;;;
F;;;;;-;-;;;;;;;;;;
F;;;;;-;-;;;;;;;;;;
F;;;;;-;-;;;;;;;;;;
F;;;;;-;-;;;;;;;;;;
F;;;;;-;-;;;;;;;;;;
F;;;;;-;-;;;;;;;;;;
F;;;;;-;-;;;;;;;;;;
F;;;;;-;-;;;;;;;;;;
F;;;;;-;-;;;;;;;;;;
F;C;;;;-;-;;;;;;;;;;
;F;;;;-;-;;;;;;;;;;
;F;;;;-;-;;;;;;;;;;
;F;;;;-;-;;;;;;;;;;
;F;;;;-;-;;;;;;;;;;
;F;;;;-;-;;;;;;;;;;
;F;C;;;-;-;;;;;;;;;;
;;F;;;-;-;;;;;;;;;;
;;F;;;-;-;;;;;;;;;;
;;F;;;-;-;;;;;;;;;;
;;F;;;-;-;;;;;;;;;;
;;F;;;-;-;;;;;;;;;;
;;F;C;;76.20;102.84;;;;;;;;;;
;;;F;s;106.79;117.83;;;;;;;;;;
;;;F;s;126.28;147.82;;;;;;;;;;
;;;F;s;85.31;109.84;;;;;;feuille découpé;;;;
;;;F;s;35.98;62.93;;;;;;2 lobes + feuille decoupé;;;;
;;;F;s;27.12;71.80;;;;;;;;;;
;;;BT;;;;;;;;;;;;;
;;HT;;;;;;;;;;;4;0;4;
;HT;;;;;;;;;;;;6;4;10;
F;;;;;-;-;;;;;;;;;;
F;;;;;-;-;;;;;;;;;;
F;C;;;;-;-;;;;;;;;;;
;F;;;;-;-;;;;;;;;;;
;F;;;;47.75;66.95;;;;;;2 lobe;;;;
;F;C;;;36.37;56.36;;;;;;1 lobe;;;;
;;F;;;40.79;75.61;;;;;;;;;;
;;F;;;154.23;148.20;;;;;;;;;;
;;F;b;;175.95;148.95;;;;;;;;;;
;;F;C;;168.27;136.84;;;;;;;;;;
;;;F;;-;-;;;;;;;;;;
;;;F;;-;-;;;;;;;;;;
;;;F;;-;-;;;;;;;;;;
;;;F;;-;-;;;;;;;;;;
;;;F;s;148.61;136.71;;;;;;;;;;
;;;F;s;166.08;138.33;;;;;;;;;;
;;;F;s;135.57;137.10;;;;;;;;;;
;;;F;s;127.80;132.52;;;;;;;;;;
;;;F;s;148.71;126.99;;;;;;;;;;
;;;F;s;96.87;105.99;;;;;;;;;;
;;;F;s;65.65;89.21;7,5;5,2;7,6;4,9;69,4575;;;;;
;;;F;s;;;;;;;;;;;;
;;;BT;;;;;;;;;;;;;
;;HT;;;;;;;;;;;7;0;7;
;HT;;;;;;;;;;;;7;2;9;
HT;;;;;;;;;;;;;35;1;36;
