Genotype;Plante;date;dist
Capriss;4;10-12-2014;1.71428571428571
Capriss;7;07-01-2015;1.33516483516484
Capriss;5;15-02-2015;2.06175889328063
Capriss;6;02-03-2015;2.54955049967825
Capriss;6;03-04-2015;2.14137931034483
Capriss;4;27-05-2015;2.68132591093117
Cir107;3;10-12-2014;3.01041666666667
Cir107;2;04-03-2015;1.57963163596966
Cir107;7;02-04-2015;0.847402597402597
Cir107;2;20-05-2015;1.99076655052265
Cir107;9;08-01-2015;1.88600095556617
Cir107;9;11-02-2015;4.20286294199338
Clery;3;10-12-2014;0.577941176470588
Clery;8;07-01-2015;0.305084745762712
Clery;3;15-02-2015;0.5
Clery;6;02-03-2015;0.897199287680104
Clery;8;03-04-2015;1.27975407324634
Clery;4;27-05-2015;1.30909090909091
Gariguette;9;10-12-2014;1.49398350809325
Gariguette;5;08-01-2015;0.699223085460599
Gariguette;8;12-02-2015;0.794371163641113
Gariguette;5;06-03-2015;1.20620689655172
Gariguette;7;02-04-2015;0.498406359444682
Gariguette;1;19-05-2015;1.29012605042017
Ciflorette;4;04-12-2014;2.28857142857143
Ciflorette;4;07-01-2015;1.28070175438596
Ciflorette;8;13-02-2015;2.22118336013101
Ciflorette;3;02-03-2015;3.43694390715667
Ciflorette;7;30-03-2015;0.673684210526316
Ciflorette;5;27-05-2015;1.84712254158612
